Delta,Theta,Alpha,Beta,Y
2.55198E+05,7.3573E+04,6.219E+03,9.076E+03,1E+00
6.34406E+05,3.7142E+04,1.545E+03,6.633E+03,1E+00
3.96256E+05,9.5618E+04,1.6444E+04,4.1337E+04,1E+00
1.8687E+05,5.0133E+04,1.5664E+04,3.6644E+04,1E+00
3.98814E+05,1.06506E+05,3.3048E+04,2.7835E+04,1E+00
4.10899E+05,1.84217E+05,3.1837E+04,1.6157E+04,1E+00
1.51798E+05,5.5762E+04,1.2542E+04,1.9678E+04,1E+00
2.2175E+04,2.29385E+05,4.823E+03,2.7866E+04,1E+00
8.525E+05,1.88438E+05,1.08054E+05,5.2102E+04,1E+00
3.68494E+05,1.35242E+05,1.4807E+04,1.4225E+04,1E+00
2.85354E+05,7.0549E+04,1.4859E+04,3.558E+03,1E+00
1.8751E+04,5.1029E+04,4.6987E+04,1.0172E+04,1E+00
3.74337E+05,6.5797E+04,4.339E+03,1.3007E+04,1E+00
7.17982E+05,3.7986E+04,1.5295E+04,2.0765E+04,1E+00
2.57074E+05,3.76929E+05,7.9099E+04,2.0487E+04,1E+00
4.6634E+04,1.7394E+04,5.421E+03,6.389E+03,1E+00
3.13823E+05,5.0671E+04,3.4152E+04,2.2482E+04,1E+00
2.5231E+04,3.3936E+04,1.0509E+04,1.0764E+04,1E+00
2.9024E+04,1.5671E+04,4.384E+03,7.683E+03,1E+00
8.868E+04,1.14065E+05,1.175E+04,9.783E+03,1E+00
4.35225E+05,1.7016E+04,8.107E+03,6.398E+03,1E+00
1.7322E+04,1.169E+04,3.47E+02,4.643E+03,1E+00
1.6503E+04,3.6731E+04,9.615E+03,6.079E+03,1E+00
2.3139E+04,9.338E+03,1.597E+03,3.848E+03,1E+00
3.3651E+04,4.479E+03,2.164E+03,7.455E+03,1E+00
1.85613E+05,1.74163E+05,7.631E+03,5.379E+03,1E+00
3.74E+03,1.5725E+04,4.214E+03,7.486E+03,1E+00
1.1906E+04,1.8686E+04,1.2594E+04,2.2141E+04,1E+00
3.0063E+04,3.3269E+04,1.3865E+04,4.246E+03,1E+00
1.4821E+05,7.4097E+04,4.693E+03,2.2081E+04,1E+00
1.1151E+04,3.3881E+04,8.899E+03,3.949E+03,1E+00
1.5747E+04,5.4349E+04,9.213E+03,1.5802E+04,1E+00
1.4653E+04,4.0518E+04,1.6504E+04,1.1319E+04,1E+00
1.0897E+05,1.8819E+04,2.893E+03,4.437E+03,1E+00
2.865E+03,7.1313E+04,1.619E+03,4.587E+03,1E+00
1.4684E+04,2.6251E+04,1.2265E+04,6.428E+03,1E+00
3.88889E+05,4.6338E+04,1.5339E+04,4.752E+03,1E+00
5.3565E+04,6.0943E+04,9.195E+03,4.213E+03,1E+00
2.60258E+05,7.0776E+04,8.793E+03,2.039E+03,1E+00
5.3182E+04,1.15734E+05,8.793E+03,1.9078E+04,1E+00
1.24274E+05,4.3057E+04,4.253E+03,6.78E+03,1E+00
1.1133E+04,7.791E+03,3.37E+02,4.431E+03,1E+00
1.2008E+04,1.0441E+04,8.277E+03,3.983E+03,1E+00
1.5977E+04,8.195E+03,7.89E+02,1.0037E+04,1E+00
8.199E+03,1.2822E+04,2.918E+03,2.915E+03,1E+00
9.734E+03,7.992E+03,9.146E+03,2.575E+03,1E+00
2.2241E+04,2.0639E+04,9.678E+03,7.311E+03,1E+00
1.6439E+04,1.3926E+04,1.0189E+04,6.996E+03,1E+00
4.7285E+04,1.8531E+04,8.424E+03,7.117E+03,1E+00
6.193E+03,5.501E+03,4.991E+03,6.21E+03,1E+00
1.181E+04,9.218E+03,9.256E+03,1.4063E+04,1E+00
6.201E+03,2.932E+03,3.593E+03,5.032E+03,1E+00
4.7115E+05,2.085085E+06,1.61937E+05,1.59113E+05,1E+00
1.994981E+06,2.21581E+05,2.0408E+04,6.5988E+04,1E+00
1.542887E+06,7.5391E+04,4.5023E+04,1.459E+04,1E+00
1.317491E+06,2.49759E+05,3.6579E+04,3.4572E+04,1E+00
6.66437E+05,3.758E+04,1.4106E+04,4.326E+03,1E+00
1.360515E+06,6.18975E+05,1.28282E+05,5.0679E+04,1E+00
6.64106E+05,1.02458E+05,5.9372E+04,5.5445E+04,1E+00
2.0284E+04,5.0961E+04,5.162E+03,4.2479E+04,1E+00
2.32896E+05,1.13895E+05,8.445E+03,6.121E+03,1E+00
1.829893E+06,2.40449E+05,5.552E+04,9.7349E+04,1E+00
2.159163E+06,6.6643E+04,3.7906E+04,2.2452E+04,1E+00
3.15329E+05,3.13417E+05,8.8358E+04,4.4725E+04,1E+00
5.64988E+05,2.41586E+05,5.7894E+04,7.1639E+04,1E+00
6.2205E+04,5.5823E+04,1.8255E+04,1.1296E+04,1E+00
2.96609E+05,1.70688E+05,5.9834E+04,1.9077E+04,1E+00
3.16297E+05,4.4009E+04,5.731E+03,1.463E+03,1E+00
5.7508E+04,2.2802E+04,6.727E+03,1.237E+04,1E+00
3.964E+03,5.262E+03,3.657E+03,5.765E+03,1E+00
1.89651E+05,1.16958E+05,7.1957E+04,9.113E+03,1E+00
4.615E+03,1.1277E+04,1.4445E+04,1.1537E+04,1E+00
4.3741E+04,8.369E+03,5.25E+02,7.97E+03,1E+00
1.58692E+05,4.2253E+04,1.2216E+04,2.15E+03,1E+00
1.20115E+05,1.6345E+04,2.761E+03,1.316E+03,1E+00
9.3E+02,1.0512E+04,4.293E+03,4.87E+03,1E+00
2.9938E+04,1.9576E+04,5.869E+03,1.5978E+04,1E+00
3.13771E+05,3.4481E+04,8.887E+03,1.1609E+04,1E+00
1.13581E+05,1.856E+04,2.826E+03,6.488E+03,1E+00
1.02181E+05,1.65897E+05,1.4938E+04,1.2581E+04,1E+00
2.08666E+05,1.04577E+05,4.6899E+04,1.7625E+04,1E+00
2.651E+04,1.4757E+04,5.231E+03,2.298E+03,1E+00
6.68866E+05,3.0916E+04,2.778E+03,3.635E+04,1E+00
6.1451E+04,2.1958E+04,3.79E+03,6.152E+03,1E+00
2.893E+03,9.723E+03,7.557E+03,3.797E+03,1E+00
1.4994E+04,1.8246E+04,4.778E+03,7.556E+03,1E+00
2.4952E+04,1.1268E+04,5.048E+03,2.983E+03,1E+00
1.0823E+04,1.3558E+04,2.706E+03,1.594E+03,1E+00
1.3203E+05,5.8855E+04,5.551E+03,4.524E+03,1E+00
1.157781E+06,3.6418E+04,1.0922E+04,6.882E+03,1E+00
6.8483E+04,7.865E+03,1.483E+03,5.83E+02,1E+00
1.3564E+04,1.3452E+04,5.694E+03,1.6504E+04,1E+00
1.8008E+04,9.64E+03,2.255E+03,9.798E+03,1E+00
9.7256E+04,8.7061E+04,2.2992E+04,4.802E+03,1E+00
1.38581E+05,2.9828E+04,6.387E+03,3.599E+03,1E+00
7.21179E+05,2.26015E+05,2.5967E+04,2.6791E+04,1E+00
4.92986E+05,8.7363E+04,1.824E+03,1.799E+04,1E+00
4.728E+03,1.4149E+04,8.881E+03,5.787E+03,1E+00
1.6389E+05,3.6398E+04,5.364E+03,2.2685E+04,1E+00
1.72102E+05,2.6007E+04,6.311E+03,9.272E+03,1E+00
3.2973E+05,1.31919E+05,1.4764E+04,2.4255E+04,1E+00
4.491E+03,3.508E+03,1.1711E+04,5.406E+03,1E+00
5.612E+03,2.0223E+04,1.1571E+04,9.547E+03,1E+00
1.65551E+05,3.1498E+04,1.1317E+04,1.4079E+04,1E+00
4.666E+03,2.81E+03,1.564E+03,6.545E+03,1E+00
6.3663E+04,4.9218E+04,6.0018E+04,1.4679E+04,1E+00
5.786E+04,1.17E+04,6.879E+03,4.603E+03,1E+00
3.671E+03,1.634E+04,2.436E+03,7.474E+03,1E+00
8.316E+03,1.327E+04,4.875E+03,1.0789E+04,1E+00
5.8584E+04,6.3085E+04,2.3936E+04,1.3767E+04,1E+00
1.7872E+05,1.01399E+05,3.7458E+04,1.5672E+04,1E+00
9.0648E+04,2.7443E+04,2.4047E+04,1.5646E+04,1E+00
1.398373E+06,1.89552E+05,2.6876E+04,3.2911E+05,1E+00
2.099925E+06,3.23118E+05,2.10824E+05,1.39779E+05,1E+00
4.8E+02,1.7E+01,3E+00,3E+00,1E+00
2.7289E+04,1.4552E+04,1.81E+03,2.48E+02,1E+00
1.216762E+06,8.74917E+05,2.31392E+05,4.0258E+04,1E+00
8.12E+03,8.179E+03,7.33E+02,7.195E+03,1E+00
1.708212E+06,3.8404E+05,1.61486E+05,6.2271E+04,1E+00
2.64122E+05,6.0155E+04,1.0067E+04,9.404E+03,1E+00
6.27494E+05,7.1324E+04,4.5342E+04,6.4481E+04,1E+00
2.235848E+06,2.23602E+05,2.75E+04,8.676E+03,1E+00
1.08015E+05,7.1485E+04,2.012E+03,5.391E+03,1E+00
6.079E+04,2.0147E+04,5E+02,2.831E+03,1E+00
1.617337E+06,7.9123E+04,6.198E+03,6.489E+03,1E+00
1.48708E+06,5.70382E+05,2.4255E+04,1.3785E+04,1E+00
9.92327E+05,4.18945E+05,2.8972E+04,1.9453E+04,1E+00
3.78189E+05,3.6216E+05,6.5921E+04,5.2701E+04,1E+00
2.34732E+05,5.35358E+05,4.6229E+04,4.0271E+04,1E+00
2.330821E+06,8.8117E+04,1.6941E+04,3.0255E+04,1E+00
1.751893E+06,1.593698E+06,4.18849E+05,3.6779E+04,1E+00
3.23914E+05,1.80721E+05,2.5951E+04,6.827E+03,1E+00
1.98288E+05,1.77249E+05,2.8991E+04,9.65E+03,1E+00
2.127706E+06,3.95976E+05,2.4984E+04,2.9266E+04,1E+00
1.171456E+06,3.97977E+05,5.5009E+04,9.19E+03,1E+00
7.31446E+05,3.3857E+04,8.745E+03,5.062E+03,1E+00
5.5339E+05,1.55849E+05,1.1652E+04,6.473E+03,1E+00
2.458593E+06,1.06457E+05,7.1334E+04,3.014E+03,1E+00
8.28333E+05,9.288E+04,1.3793E+04,3.3E+03,1E+00
1.99764E+05,7.1049E+04,4.4289E+04,5.8976E+04,1E+00
1.588534E+06,1.20656E+05,2.2273E+04,1.12E+04,1E+00
7.06478E+05,2.1088E+04,3.916E+03,3.416E+03,1E+00
2.994E+04,9.589E+03,3.574E+03,1.9198E+04,1E+00
6.78733E+05,1.7111E+04,2.582E+03,1.2106E+04,1E+00
2.016E+04,1.3913E+04,1.5956E+04,6.458E+03,1E+00
1.30376E+05,1.1374E+04,1.9954E+04,1.7681E+04,1E+00
2.3064E+05,2.04532E+05,6.7659E+04,1.1873E+04,1E+00
1.021039E+06,8.4618E+04,6.449E+03,9.489E+03,1E+00
3.60251E+05,2.36547E+05,9.668E+03,8.887E+03,1E+00
5.6125E+04,1.9071E+04,2.497E+03,4.89E+03,1E+00
3.318E+03,1.0952E+04,1.652E+03,3.626E+03,1E+00
5.42E+03,2.0222E+04,2.159E+03,4.222E+03,1E+00
2.081E+03,9.06E+03,4.61E+03,9.047E+03,1E+00
1.0275E+04,3.4488E+04,3.906E+03,9.108E+03,1E+00
7.62E+03,2.5577E+04,2.669E+03,1.593E+03,1E+00
7.569E+03,4.681E+03,3.443E+03,2.445E+03,1E+00
6.134E+03,8.055E+03,2.499E+03,2.458E+03,1E+00
2.0538E+04,6.839E+03,4.303E+03,4.745E+03,1E+00
3.165E+03,3.8207E+04,8.654E+03,5.542E+03,1E+00
9.5681E+04,9.5717E+04,6.529E+03,6.318E+03,1E+00
2.3374E+04,1.4004E+04,1.1791E+04,1.2307E+04,1E+00
9.216E+03,3.104E+03,2.519E+03,6.42E+03,1E+00
2.4511E+04,8.412E+03,1.412E+04,7.47E+03,1E+00
3.434E+03,3.925E+03,6.236E+03,6.484E+03,1E+00
2.0003E+04,2.7065E+04,6.711E+03,3.784E+03,1E+00
7.896E+03,3.739E+03,2.515E+03,3.293E+03,1E+00
7.759E+03,8.153E+03,2.759E+03,3.089E+03,1E+00
3.66E+03,3.41E+03,1.971E+03,5.227E+03,1E+00
9.315E+03,9.878E+03,6.058E+03,1.1586E+04,1E+00
4.39893E+05,1.27874E+05,6.736E+03,9.546E+03,1E+00
6.429E+03,8.574E+03,1.537E+03,6.767E+03,1E+00
5.50403E+05,5.1847E+05,2.31642E+05,2.3153E+04,1E+00
1.7949E+04,7.111E+03,1.03E+04,1.0152E+04,1E+00
3.728E+03,6.798E+03,1.941E+03,3.742E+03,1E+00
9.03929E+05,7.9511E+04,2.7596E+04,6.315E+03,1E+00
3.59663E+05,6.50878E+05,1.9492E+04,1.3178E+04,1E+00
1.542598E+06,1.61924E+05,6.5456E+04,3.6513E+04,1E+00
1.10967E+05,1.606E+04,3.329E+03,2.919E+03,1E+00
7.55567E+05,3.03917E+05,2.3101E+04,1.804E+04,1E+00
4.21968E+05,7.4469E+04,1.8819E+04,1.9008E+04,1E+00
2.01027E+05,8.9133E+04,1.7872E+04,2.1098E+04,1E+00
2.56313E+05,5.63545E+05,9.245E+04,3.8193E+04,1E+00
1.27298E+05,1.3956E+04,2.705E+04,3.1956E+04,1E+00
1.289405E+06,2.42405E+05,6.032E+04,3.0931E+04,1E+00
3.3405E+04,4.8619E+04,4.4431E+04,2.4359E+04,1E+00
7.30882E+05,1.52878E+05,3.195E+04,1.4289E+04,1E+00
6.34865E+05,6.398E+04,3.264E+03,2.636E+03,1E+00
2.351E+05,2.7975E+04,1.28E+03,7.99E+02,1E+00
1.39602E+06,2.2436E+05,1.27336E+05,2.1933E+04,1E+00
2.30186E+05,8.6618E+04,2.2658E+04,5.113E+03,1E+00
2.71197E+05,1.18023E+05,4.512E+04,1.3271E+04,1E+00
1.1609E+04,3.334E+03,9.351E+03,1.2771E+04,1E+00
3.91012E+05,3.37901E+05,3.4926E+04,2.0896E+04,1E+00
1.3064E+04,2.4571E+04,6.887E+03,1.2124E+04,1E+00
3.37285E+05,3.9017E+04,5.373E+03,4.827E+03,1E+00
9.24079E+05,1.85561E+05,3.406E+03,1.0982E+04,1E+00
2.11892E+05,5.1869E+04,3.1728E+04,7.32E+03,1E+00
1.964577E+06,3.13204E+05,5.6834E+04,9.5236E+04,1E+00
5.0446E+04,1.2914E+04,1.083E+04,2.142E+03,1E+00
3.48858E+05,4.34711E+05,6.1155E+04,2.0636E+04,1E+00
8.13357E+05,2.8532E+04,2.2254E+04,6.97E+03,1E+00
6.81133E+05,8.1284E+04,6.082E+03,4.1117E+04,1E+00
8.6433E+04,1.30019E+05,1.8801E+04,8.825E+03,1E+00
7.54387E+05,7.4105E+04,1.2947E+04,9.141E+03,1E+00
7.57895E+05,1.27986E+05,7.9264E+04,3.6782E+04,1E+00
1.955925E+06,2.98031E+05,8.4965E+04,1.0434E+04,1E+00
9.77885E+05,4.60479E+05,4.3476E+04,1.19985E+05,1E+00
1.189291E+06,1.37177E+05,2.1363E+04,5.947E+03,1E+00
5.46127E+05,3.07489E+05,2.9097E+04,2.8769E+04,1E+00
4.54279E+05,1.4774E+04,3.504E+03,3.117E+03,1E+00
3.329E+03,5.903E+03,5.976E+03,9.103E+03,1E+00
1.0554E+04,1.9555E+04,8.982E+03,1.2726E+04,1E+00
3.15E+03,7.361E+03,1.931E+03,1.3425E+04,1E+00
1.8319E+05,5.7515E+04,3.74E+03,3.003E+03,1E+00
2.9296E+04,1.2034E+04,2.533E+03,1.4958E+04,1E+00
1.3856E+04,9.022E+03,2.721E+03,1.6359E+04,1E+00
3.9348E+05,1.09523E+05,2.215E+04,3.2E+03,1E+00
1.206705E+06,2.8792E+05,1.01402E+05,2.7016E+04,1E+00
1.88504E+05,2.9509E+04,3.611E+03,7.174E+03,1E+00
2.22E+03,7.165E+03,4.419E+03,7.674E+03,1E+00
3.132E+03,6.187E+03,4.883E+03,6.678E+03,1E+00
3.66E+03,6.21E+03,1.2696E+04,6.867E+03,1E+00
1.5228E+04,1.731E+03,4.355E+03,5.882E+03,1E+00
4.293E+03,1.1862E+04,1.135E+03,3.064E+03,1E+00
7.674E+03,6.002E+03,1.777E+03,9.845E+03,1E+00
4.4431E+05,1.4992E+05,2.093E+04,3.2038E+04,1E+00
3.86756E+05,8.5376E+04,2.0813E+04,9.919E+03,1E+00
2.85157E+05,2.99869E+05,4.5611E+04,3.8969E+04,1E+00
1.08076E+05,2.58365E+05,4.5899E+04,1.3939E+04,1E+00
5.51E+03,2.8777E+04,3.213E+03,8.64E+03,1E+00
4.88E+03,5.935E+03,1.0653E+04,5.182E+03,1E+00
2.2215E+04,1.8009E+04,7.579E+03,1.0496E+04,1E+00
1.8185E+04,1.4114E+04,5.038E+03,3.613E+03,1E+00
4.036E+03,7.48E+03,2.51E+03,1.588E+03,1E+00
1.08967E+05,7.008E+03,1.0572E+04,2.534E+03,1E+00
2.130068E+06,2.35085E+05,8.9471E+04,1.5219E+04,1E+00
5.444E+03,9.751E+03,2.127E+03,3.061E+03,1E+00
4.56344E+05,2.86511E+05,4.4357E+04,2.5424E+04,1E+00
1.0216E+04,3.196E+03,5.959E+03,1.1646E+04,1E+00
6.387E+03,1.6973E+04,3.556E+03,3.038E+03,1E+00
5.07E+03,7.183E+03,1.907E+03,1.189E+03,1E+00
3.637E+03,3.748E+03,1.933E+03,2.314E+03,1E+00
1.276E+03,1.621E+03,3.872E+03,3.406E+03,1E+00
2.79322E+05,1.1147E+04,1.46E+02,1.712E+03,1E+00
6.90914E+05,2.9726E+04,2.4909E+04,1.362E+03,1E+00
4.18017E+05,2.41659E+05,3.1107E+04,3.5808E+04,1E+00
1.93113E+05,3.4631E+04,1.4492E+04,2.475E+03,1E+00
2.5356E+04,1.1612E+04,2.378E+03,3.113E+03,1E+00
2.06202E+05,2.27655E+05,7.445E+03,1.2119E+04,1E+00
7.802E+03,5.293E+03,7.058E+03,1.0649E+04,1E+00
5.391E+03,1.7083E+04,1.0764E+04,4.662E+03,1E+00
5.98543E+05,5.543E+04,1.2324E+04,4.982E+03,1E+00
3.07646E+05,3.50309E+05,9.456E+03,3.6059E+04,1E+00
5.17778E+05,1.138E+05,9.1379E+04,4.935E+04,1E+00
1.17628E+05,5.1703E+04,3.4228E+04,1.8999E+04,1E+00
1.137576E+06,1.1912E+05,4.5053E+04,1.8948E+04,1E+00
3.03664E+05,1.47605E+05,1.7158E+04,1.1311E+04,1E+00
3.99823E+05,4.11026E+05,6.6105E+04,5.385E+04,1E+00
7.25037E+05,2.74577E+05,7.7902E+04,2.71E+04,1E+00
1.2428E+06,1.49729E+05,9.752E+04,1.538E+04,1E+00
1.980883E+06,7.21095E+05,1.20215E+05,3.722E+04,1E+00
1.466073E+06,4.58835E+05,8.522E+04,3.2237E+04,1E+00
1.041689E+06,2.47746E+05,2.2413E+04,4.1848E+04,1E+00
1.304653E+06,1.21112E+05,1.3329E+04,2.0602E+04,1E+00
6.3982E+04,2.0184E+04,4.1665E+04,9.413E+03,1E+00
4.7705E+05,2.8247E+04,9.455E+03,1.0434E+04,1E+00
1.416891E+06,2.29323E+05,8.315E+03,1.9387E+04,1E+00
4.14489E+05,1.01135E+05,5.192E+03,2.4977E+04,1E+00
4.68403E+05,3.60067E+05,2.8896E+04,3.967E+04,1E+00
6.28188E+05,5.6235E+04,1.2999E+04,3.143E+03,1E+00
1.987946E+06,1.14802E+05,2.244E+04,6.9345E+04,1E+00
1.07108E+05,6.7071E+04,4.428E+03,4.412E+03,1E+00
2.92869E+05,1.65719E+05,2.6607E+04,1.2846E+04,1E+00
7.1307E+04,2.7333E+04,3.669E+03,1.5021E+04,1E+00
4.06025E+05,2.7442E+05,1.891E+04,1.1948E+04,1E+00
2.5579E+05,2.10126E+05,6.5683E+04,1.9476E+04,1E+00
3.80357E+05,8.3677E+04,1.3583E+04,5.034E+04,1E+00
2.125616E+06,1.6421E+05,4.86E+03,1.5956E+04,1E+00
1.15232E+05,3.0819E+04,1.7674E+04,7.382E+03,1E+00
6.88016E+05,6.2743E+04,1.095E+03,7.903E+03,1E+00
1.705136E+06,2.23668E+05,2.2801E+04,1.00678E+05,1E+00
7.4359E+04,3.2341E+04,7.573E+03,4.817E+03,1E+00
2.76181E+05,1.91893E+05,6.0033E+04,2.4916E+04,1E+00
6.92309E+05,6.5608E+04,1.5674E+04,7.253E+03,1E+00
4.90597E+05,4.1412E+04,1.4028E+04,1.9905E+04,1E+00
7.7765E+04,5.4971E+04,1.8989E+04,1.5293E+04,1E+00
1.7837E+04,1.6079E+04,2.6301E+04,1.1752E+04,1E+00
2.7447E+04,2.7651E+04,3.548E+03,3.707E+03,1E+00
2.37718E+05,1.14482E+05,2.9982E+04,2.379E+04,1E+00
5.4091E+04,1.6971E+04,9.273E+03,3.66E+03,1E+00
1.70384E+05,5.473E+03,2.785E+03,9.33E+02,0E+00
2.8191E+04,2.0528E+04,6.54E+02,1.406E+03,0E+00
2.841806E+06,2.95881E+05,1.53969E+05,2.755E+04,0E+00
1.67639E+05,6.2853E+04,9.369E+03,7.218E+03,0E+00
1.163759E+06,1.72955E+05,1.1741E+04,1.0983E+04,0E+00
2.44447E+05,6.8211E+04,2.7401E+04,5.745E+03,0E+00
2.453517E+06,2.5865E+05,1.40782E+05,1.51893E+05,0E+00
7.9939E+05,4.27463E+05,8.3897E+04,5.0788E+04,0E+00
1.784732E+06,1.207305E+06,4.39262E+05,8.8964E+04,0E+00
7.283E+05,4.93735E+05,6.7473E+04,5.7378E+04,0E+00
1.34681E+06,4.5984E+04,9.6598E+04,1.07511E+05,0E+00
1.232801E+06,3.31021E+05,5.3906E+04,8.0132E+04,0E+00
7.31786E+05,7.9897E+04,8.765E+03,1.1219E+04,0E+00
1.26382E+05,4.3718E+04,8.821E+03,6.134E+03,0E+00
2.837236E+06,8.63346E+05,5.8251E+04,7.2745E+04,0E+00
2.78522E+05,5.2366E+04,1.1322E+04,1.093E+04,0E+00
1.849318E+06,8.8734E+04,1.9115E+04,9.876E+03,0E+00
9.79479E+05,2.96307E+05,5.4946E+04,5.8564E+04,0E+00
1.734492E+06,7.9174E+04,4.0133E+04,2.5295E+04,0E+00
1.716E+05,3.021E+04,7.561E+03,8.52E+02,0E+00
2.00549E+05,3.06027E+05,5.0342E+04,4.142E+03,0E+00
1.192965E+06,1.00313E+05,1.7904E+04,6.257E+03,0E+00
4.003E+04,1.5006E+04,7.53E+03,3.737E+03,0E+00
5.24596E+05,5.7357E+04,9.846E+03,4.207E+03,0E+00
1.642017E+06,1.198336E+06,1.58331E+05,7.5817E+04,0E+00
9.64695E+05,1.94104E+05,2.1462E+04,5.9189E+04,0E+00
1.557395E+06,1.73582E+05,1.25806E+05,4.9727E+04,0E+00
2.33947E+05,4.6536E+04,7.576E+03,1.6917E+04,0E+00
3.27539E+05,1.1827E+05,1.4559E+04,2.7745E+04,0E+00
6.74915E+05,1.25153E+05,6.62E+04,1.8595E+04,0E+00
6.36E+03,1.2761E+04,3.139E+03,1.1918E+04,0E+00
2.09181E+05,4.6016E+04,1.999E+03,1.525E+03,0E+00
1.78283E+05,4.3141E+04,2.398E+03,3.636E+03,0E+00
5.971E+04,8.0141E+04,1.0904E+04,8.84E+03,0E+00
1.200125E+06,6.24297E+05,4.0714E+04,1.38946E+05,0E+00
2.29696E+05,2.7644E+04,1.2343E+04,1.3263E+04,0E+00
1.17113E+05,1.28578E+05,1.6274E+04,1.7634E+04,0E+00
9.7392E+04,2.8019E+04,9.53E+03,1.0145E+04,0E+00
3.726189E+06,1.65927E+05,6.7943E+04,2.2208E+04,0E+00
1.544448E+06,1.106049E+06,3.28234E+05,5.9018E+04,0E+00
2.091442E+06,1.66652E+05,1.4388E+04,1.9712E+04,0E+00
9.27193E+05,4.47425E+05,7.369E+03,9.5773E+04,0E+00
1.567559E+06,2.53607E+05,2.01761E+05,4.9723E+04,0E+00
1.84343E+05,1.06887E+05,2.5786E+04,9.674E+03,0E+00
5.12605E+05,1.5574E+04,7.734E+03,5.806E+03,0E+00
3.12281E+05,9.9596E+04,1.504E+04,1.0451E+04,0E+00
2.094655E+06,5.32827E+05,1.85948E+05,6.9112E+04,0E+00
7.41403E+05,2.10991E+05,5.924E+04,1.9186E+04,0E+00
1.33862E+06,6.43186E+05,9.4536E+04,6.5406E+04,0E+00
1.482518E+06,1.67654E+05,2.2436E+04,9.158E+03,0E+00
6.51194E+05,7.4142E+04,4.01E+03,4.529E+04,0E+00
1.1184E+05,8.9551E+04,1.2483E+04,1.1018E+04,0E+00
1.078002E+06,1.71415E+05,7.275E+04,2.877E+04,0E+00
4.77195E+05,8.1435E+04,6.768E+03,5.294E+03,0E+00
4.3065E+04,1.5523E+04,2.93E+03,6.428E+03,0E+00
1.080956E+06,2.8321E+04,2.6855E+04,3.364E+04,0E+00
7.966E+03,2.0161E+04,2.069E+03,1.177E+04,0E+00
4.853E+03,8.362E+03,7.041E+03,2.743E+03,0E+00
3.279E+03,9.523E+03,1.5429E+04,9.765E+03,0E+00
7.7177E+04,6.1567E+04,3.3752E+04,1.8071E+04,0E+00
1.06077E+05,1.727E+04,2.224E+03,3.218E+03,0E+00
9.6113E+04,1.24892E+05,7.1567E+04,3.7965E+04,0E+00
1.03006E+05,3.5967E+04,5.4326E+04,4.284E+04,0E+00
6.5398E+05,5.49487E+05,3.8577E+04,9.291E+03,0E+00
7.54087E+05,1.20126E+05,2.5922E+04,4.3626E+04,0E+00
8.6914E+04,1.08466E+05,1.9035E+04,3.458E+03,0E+00
1.40695E+05,6.498E+03,4.322E+03,5.024E+03,0E+00
1.6789E+04,7.975E+03,1.209E+04,5.559E+03,0E+00
2.298E+03,1.6986E+04,1.0798E+04,2.165E+03,0E+00
8.433E+03,7.784E+03,3.942E+03,2.752E+03,0E+00
1.2326E+04,1.1639E+04,1.6397E+04,2.011E+03,0E+00
2.60128E+05,1.3449E+04,9.421E+03,1.1986E+04,0E+00
6.344E+03,5.926E+03,2.561E+03,9.044E+03,0E+00
5.8768E+04,1.4732E+04,6.421E+03,3.969E+03,0E+00
1.87E+03,3.658E+03,2.225E+03,6.278E+03,0E+00
3.538E+03,1.0327E+04,8.197E+03,4.968E+03,0E+00
7.636E+03,1.0561E+04,2.686E+03,5.657E+03,0E+00
5.912E+03,2.3606E+04,1.4223E+04,6.966E+03,0E+00
8.017E+03,2.1052E+04,6.428E+03,7.521E+03,0E+00
5.862E+03,1.3506E+04,7.77E+03,1.1848E+04,0E+00
6.967E+03,5.431E+03,4.028E+03,4.462E+03,0E+00
1.7718E+04,1.0411E+04,7.801E+03,5.653E+03,0E+00
3.4178E+05,3.7868E+04,4.192E+03,1.441E+03,0E+00
2.88482E+05,1.14514E+05,6.5E+02,1.1373E+04,0E+00
4.898E+03,2.125E+03,5.067E+03,6.659E+03,0E+00
1.7658E+04,1.0131E+04,4.952E+03,1.841E+03,0E+00
1.876E+03,1.7185E+04,1.058E+03,2.334E+03,0E+00
6.081E+03,1.4629E+04,1.1949E+04,6.401E+03,0E+00
1.2897E+04,2.6402E+04,5.761E+03,7.797E+03,0E+00
1.3002E+04,1.1537E+04,1.235E+03,3.463E+03,0E+00
5.635E+03,6.785E+03,3.058E+03,5.058E+03,0E+00
2.91443E+05,3.56537E+05,2.5551E+04,7.437E+03,0E+00
7.251E+03,7.8E+03,3.041E+03,2.779E+03,0E+00
6.227E+03,3.127E+03,1.0027E+04,3.353E+03,0E+00
1.6566E+04,6.516E+03,2.028E+03,4.339E+03,0E+00
5.018E+03,4.738E+03,7.738E+03,9.112E+03,0E+00
4.599E+03,1.1725E+04,1.52E+03,9.12E+03,0E+00
1.493E+03,4.689E+03,8.44E+02,3.548E+03,0E+00
4.462E+03,7.252E+03,5.652E+03,3.187E+03,0E+00
1.06507E+05,1.49518E+05,1.0978E+04,3.157E+04,0E+00
5.96824E+05,3.8494E+04,7.715E+03,3.714E+03,0E+00
3.721E+03,1.2897E+04,3.297E+03,5.568E+03,0E+00
1.4694E+04,1.4353E+04,3.312E+03,4.457E+03,0E+00
9.362E+03,6.168E+03,2.883E+03,6.321E+03,0E+00
